product_id,product_name,type,quantity,product_price,price,price_currency,product_availability,product_url,source_url
103205,"Hwipure, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",Disposable N95,1,2.95,2.95,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Hwipure-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/103205,https://au.iherb.com/c/protective-face-masks
101774,"HIGUARD, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",Disposable N95,1,2.95,2.95,AUD,http://schema.org/InStock,https://au.iherb.com/pr/HIGUARD-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/101774,https://au.iherb.com/c/protective-face-masks
101955,"SunJoy, KN95, Professional Protective Disposable Face Mask, 10 Pack",Disposable Regular,10,8.86,0.886,AUD,http://schema.org/InStock,https://au.iherb.com/pr/SunJoy-KN95-Professional-Protective-Disposable-Face-Mask-10-Pack/101955,https://au.iherb.com/c/protective-face-masks
103838,"Lozperi, Copper Mask, Adult, Black, 1 Mask",Reusable,1,6.85,6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Black-1-Mask/103838,https://au.iherb.com/c/protective-face-masks
102734,"Zidian, Disposable Protective Mask, 50 Pack",Disposable Regular,50,15.35,0.307,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Zidian-Disposable-Protective-Mask-50-Pack/102734,https://au.iherb.com/c/protective-face-masks
100837,"La Hauteur, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",Disposable N95,1,5.61,5.61,AUD,http://schema.org/InStock,https://au.iherb.com/pr/La-Hauteur-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/100837,https://au.iherb.com/c/protective-face-masks
100840,"YJ Corporation, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, for Kids, 1 Mask",Disposable N95,1,3.93,3.93,AUD,http://schema.org/InStock,https://au.iherb.com/pr/YJ-Corporation-Disposable-KF94-Mask-for-Kids-1-Mask/100840,https://au.iherb.com/c/protective-face-masks
103204,"Hwipure, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask,  25 Masks",Disposable N95,25,50.19,2.0076,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Hwipure-Disposable-KF94-N95-KN95-FFP2-Mask-25-Masks/103204,https://au.iherb.com/c/protective-face-masks
103840,"Lozperi, Copper Mask, Adult, Gray, 1 Mask",Reusable,1,6.85,6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Gray-1-Mask/103840,https://au.iherb.com/c/protective-face-masks
103743,"Puritas, 10 Days Mask, Large, 3 Pack",Reusable,3,6.61,2.203333333,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Puritas-10-Days-Mask-Large-3-Pack/103743,https://au.iherb.com/c/protective-face-masks
102522,"Dr. Puri, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 20 Masks",Disposable N95,20,47.24,2.362,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Dr-Puri-Disposable-KF94-N95-KN95-FFP2-Mask-20-Masks/102522,https://au.iherb.com/c/protective-face-masks
103839,"Lozperi, Copper Mask, Adult, Dot, 1 Count",Reusable,1,6.85,6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Adult-Dot-1-Count/103839,https://au.iherb.com/c/protective-face-masks
104023,"Kosette, PM 2.5 Replaceable Filter, 24 Filters",Reusable,24,5.91,0.24625,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-PM-2-5-Replaceable-Filter-24-Filters/104023,https://au.iherb.com/c/protective-face-masks
101692,"Kitsch, 100% Cotton Reusable Face Masks, Neutral, 3 Pack",Reusable,3,17.72,5.906666667,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kitsch-100-Cotton-Reusable-Face-Masks-Neutral-3-Pack/101692,https://au.iherb.com/c/protective-face-masks
100839,"One Fine Day, Disposable KF94 ( N95 / KN95/ FFP2 ) Mask, 1 Mask",Disposable N95,1,4.49,4.49,AUD,http://schema.org/InStock,https://au.iherb.com/pr/One-Fine-Day-Disposable-KF94-N95-KN95-FFP2-Mask-1-Mask/100839,https://au.iherb.com/c/protective-face-masks
100237,"Kitsch, 100% Cotton Reuseable Face Masks, Leopard, 3 Pack",Reusable,3,17.72,5.906666667,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kitsch-100-Cotton-Reuseable-Face-Masks-Leopard-3-Pack/100237,https://au.iherb.com/c/protective-face-masks
103841,"Lozperi, Copper Mask, Kids, Black, 1 Mask",Reusable,1,6.85,6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Kids-Black-1-Mask/103841,https://au.iherb.com/c/protective-face-masks
99830,"Kosette, Nano Reusable Face Protection Mask, Medium, 1 Mask",Reusable,1,22.44,22.44,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-Nano-Reusable-Face-Protection-Mask-Medium-1-Mask/99830,https://au.iherb.com/c/protective-face-masks
104022,"Kosette, Fashion Mask with Filter Pocket,  3 Masks",Reusable,3,11.81,3.936666667,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-Fashion-Mask-with-Filter-Pocket-3-Masks/104022,https://au.iherb.com/c/protective-face-masks
99829,"Kosette, Nano Reusable Face Protection Mask, Large, 1 Mask",Reusable,1,22.44,22.44,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kosette-Nano-Reusable-Face-Protection-Mask-Large-1-Mask/99829,https://au.iherb.com/c/protective-face-masks
103842,"Lozperi, Copper Mask, Kids, Gray, 1 Count",Reusable,1,6.85,6.85,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Lozperi-Copper-Mask-Kids-Gray-1-Count/103842,https://au.iherb.com/c/protective-face-masks
102455,"Now Foods, Face Mask, Grey, S-M, 1 Mask",Reusable,1,2.95,2.95,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Now-Foods-Face-Mask-Grey-S-M-1-Mask/102455,https://au.iherb.com/c/protective-face-masks
101691,"Kitsch, 100% Cotton Reuseable Face Masks, Blush, 3 Pack",Reusable,3,17.72,5.906666667,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Kitsch-100-Cotton-Reuseable-Face-Masks-Blush-3-Pack/101691,https://au.iherb.com/c/protective-face-masks
100541,"Tony Moly, CTT KN95 Respirator Mask, 5 Count",Disposable N95,5,26.57,5.314,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Tony-Moly-CTT-KN95-Respirator-Mask-5-Count/100541,https://au.iherb.com/c/protective-face-masks
100099,"Luseta Beauty, Disposable Protection Face Mask, 50 Pack",Disposable Regular,50,49.61,0.9922,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Luseta-Beauty-Disposable-Protection-Face-Mask-50-Pack/100099,https://au.iherb.com/c/protective-face-masks
100234,"Luseta Beauty, Disposable Protection Face Mask, 50 Pack",Disposable Regular,50,44.31,0.8862,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Luseta-Beauty-Disposable-Protection-Face-Mask-50-Pack/100234,https://au.iherb.com/c/protective-face-masks
101029,"Landsberg, 3 Ply Disposable Protective Face Mask, 50 Pack",Disposable Regular,50,36.54,0.7308,AUD,http://schema.org/InStock,https://au.iherb.com/pr/Landsberg-3-Ply-Disposable-Protective-Face-Mask-50-Pack/101029,https://au.iherb.com/c/protective-face-masks
